Time,Total_Load_kg,Total_Calls,Up_Count,Down_Count,Lobby_Count,Up_Ratio,Down_Ratio,Lobby_Ratio,Hour,Cluster_Label,Cluster_Name
2025-11-01 00:00:00,630,5,0,5,0,0.0,1.0,0.0,0,8,Night Idle
2025-11-01 00:05:00,609,5,0,5,0,0.0,1.0,0.0,0,8,Night Idle
2025-11-01 00:10:00,63,1,1,0,0,1.0,0.0,0.0,0,2,Early-Morn Light Up-Flow
2025-11-01 00:15:00,168,3,1,2,0,0.3333333333333333,0.6666666666666666,0.0,0,8,Night Idle
2025-11-01 00:20:00,189,2,0,2,0,0.0,1.0,0.0,0,8,Night Idle
2025-11-01 00:25:00,399,3,2,1,0,0.6666666666666666,0.3333333333333333,0.0,0,2,Early-Morn Light Up-Flow
2025-11-01 00:30:00,483,4,0,4,0,0.0,1.0,0.0,0,8,Night Idle
2025-11-01 00:35:00,0,0,0,0,0,0.0,0.0,0.0,0,0,Night Idle
2025-11-01 00:40:00,84,1,0,1,0,0.0,1.0,0.0,0,8,Night Idle
2025-11-01 00:45:00,105,1,1,0,0,1.0,0.0,0.0,0,2,Early-Morn Light Up-Flow
2025-11-01 00:50:00,0,0,0,0,0,0.0,0.0,0.0,0,0,Night Idle
2025-11-01 00:55:00,0,0,0,0,0,0.0,0.0,0.0,0,0,Night Idle
2025-11-01 01:00:00,0,0,0,0,0,0.0,0.0,0.0,1,0,Night Idle
2025-11-01 01:05:00,357,3,3,0,0,1.0,0.0,0.0,1,2,Early-Morn Light Up-Flow
2025-11-01 01:10:00,252,1,0,1,0,0.0,1.0,0.0,1,8,Night Idle
2025-11-01 01:15:00,168,1,0,1,0,0.0,1.0,0.0,1,8,Night Idle
2025-11-01 01:20:00,210,2,0,2,0,0.0,1.0,0.0,1,8,Night Idle
2025-11-01 01:25:00,105,1,1,0,0,1.0,0.0,0.0,1,2,Early-Morn Light Up-Flow
2025-11-01 01:30:00,84,1,0,1,0,0.0,1.0,0.0,1,8,Night Idle
2025-11-01 01:35:00,0,0,0,0,0,0.0,0.0,0.0,1,0,Night Idle
2025-11-01 01:40:00,0,0,0,0,0,0.0,0.0,0.0,1,0,Night Idle
2025-11-01 01:45:00,0,0,0,0,0,0.0,0.0,0.0,1,0,Night Idle
2025-11-01 01:50:00,189,3,3,0,0,1.0,0.0,0.0,1,2,Early-Morn Light Up-Flow
2025-11-01 01:55:00,168,1,0,1,0,0.0,1.0,0.0,1,8,Night Idle
