ds,yhat,yhat_lower,yhat_upper,yhat_clean,trend,daily,weekly
2025-11-01 00:00:00,-53.98250824438901,-2713.4265965475556,3057.8923491785645,0.0,2496.33832644,-2289.22432646917,-261.0965082152183
2025-11-01 00:05:00,-47.16909404429498,-2955.8486225428,2684.473691281321,0.0,2496.3630454390855,-2270.872925724185,-272.65921375919555
2025-11-01 00:10:00,-40.716901667603,-2784.842744242729,2618.7784699424546,0.0,2496.387764438171,-2252.845492186467,-284.25917391930693
2025-11-01 00:15:00,-34.918009440741116,-3056.354379889459,2794.6075787062764,0.0,2496.412483437256,-2235.434445524655,-295.89604735334177
2025-11-01 00:20:00,-30.043423762313523,-2905.8667285492656,2662.707307835753,0.0,2496.4372024363415,-2218.911136655804,-307.56948954285116
2025-11-01 00:25:00,-26.341372355991098,-2743.658169158669,2865.705012534632,0.0,2496.461921435427,-2203.524140959905,-319.27915283151344
2025-11-01 00:30:00,-24.035827959403832,-2906.27007954769,2762.9809442737196,0.0,2496.4866404345125,-2189.497781979536,-331.0246864143807
2025-11-01 00:35:00,-23.32527121971225,-2930.8240129893543,2908.6952327408735,0.0,2496.511359433598,-2177.0308943271457,-342.8057363261646
2025-11-01 00:40:00,-24.381700669998736,-2834.5654382187813,2939.3995727304577,0.0,2496.5360784326836,-2166.295833625194,-354.6219454774877
2025-11-01 00:45:00,-27.349892928137706,-2780.9082226347045,2757.776434245938,0.0,2496.5607974317686,-2157.4377366429344,-366.4729537169716
2025-11-01 00:50:00,-32.34691741487859,-2763.3396040324033,2792.6493222921545,0.0,2496.585516430854,-2150.574036083942,-378.3583977617909
2025-11-01 00:55:00,-39.46190502639547,-2753.49368914416,2795.0004681650857,0.0,2496.61023542994,-2145.7942291901486,-390.27791126618644
2025-11-01 01:00:00,-48.75606949546227,-3037.0619528553393,2532.580641877379,0.0,2496.6349544290256,-2143.159899098147,-402.23112482634036
2025-11-01 01:05:00,-60.26297756774011,-2864.2316304963597,2741.643797546118,0.0,2496.659673428111,-2142.704985015232,-414.2176659806188
2025-11-01 01:10:00,-73.98906213212013,-2910.211216445543,2565.8978718588473,0.0,2496.684392427196,-2144.436295292043,-426.2371592672739
2025-11-01 01:15:00,-89.91437046196506,-2656.765642244751,2823.3115708059845,0.0,2496.7091114262817,-2148.334255687961,-438.2892262002857
2025-11-01 01:20:00,-107.99353765147816,-2856.42700080128,2794.9690641773727,0.0,2496.733830425367,-2154.35388276516,-450.3734853116858
2025-11-01 01:25:00,-128.1569741244939,-2954.259659870233,2574.0079428418517,0.0,2496.7585494244527,-2162.4259714215377,-462.4895521274083
2025-11-01 01:30:00,-150.31225224706168,-2940.399721514134,2735.050843744386,0.0,2496.783268423538,-2172.458481439701,-474.63703923089855
2025-11-01 01:35:00,-174.345680067001,-3140.110348948731,2568.0501721851465,0.0,2496.8079874226237,-2184.338111234555,-486.8155562550696
2025-11-01 01:40:00,-200.12404159826337,-3023.2296201222603,2707.3002129443166,0.0,2496.8327064217087,-2197.9320381196576,-499.02470990031424
2025-11-01 01:45:00,-227.49649036971823,-3140.924520876966,2695.0729715619123,0.0,2496.8574254207942,-2213.0898117952697,-511.2641039952434
2025-11-01 01:50:00,-256.2965730245364,-3158.789726747258,2666.4158589533367,0.0,2496.8821444198798,-2229.6453780042107,-523.5333394402059
2025-11-01 01:55:00,-286.34436614849756,-3063.769889559657,2366.444990930841,0.0,2496.9068634189653,-2247.4192153075237,-535.8320142599396
2025-11-01 02:00:00,-317.4487038236457,-3135.7308496192118,2360.293571216402,0.0,2496.9315824180508,-2266.2205625825873,-548.1597236591093
2025-11-01 02:05:00,-349.4094750013933,-3133.2658632571943,2428.8962652684586,0.0,2496.956301417136,-2285.8497164160362,-560.5160600024927
2025-11-01 02:10:00,-382.01996850112755,-3291.3469697955957,2486.8315915715925,0.0,2496.9810204162213,-2306.100376103864,-572.9006128134844
2025-11-01 02:15:00,-415.0692435347055,-3075.563491009218,2443.5624307877024,0.0,2497.005739415307,-2326.7620141267394,-585.312968823273
2025-11-01 02:20:00,-448.34450381468923,-3225.190069168127,2275.125132271004,0.0,2497.0304584143923,-2347.6222502119167,-597.7527120171646
2025-11-01 02:25:00,-481.63345135197824,-3387.1223551088037,2377.9689670770435,0.0,2497.055177413478,-2368.4692051725206,-610.2194235929353
2025-11-01 02:30:00,-514.726601052072,-3450.6530655470765,2268.22656847627,0.0,2497.0798964125634,-2389.093815448455,-622.7126820161801
2025-11-01 02:35:00,-547.4195306748979,-3253.2696914104167,2225.5477081703616,0.0,2497.1046154116484,-2409.2920830573594,-635.2320630291877
2025-11-01 02:40:00,-579.5150494025238,-3123.1560073257065,2324.8417080596932,0.0,2497.129334410734,-2428.867244103839,-647.777139709419
2025-11-01 02:45:00,-610.8252612689266,-3337.784494243219,2169.5762105800395,0.0,2497.1540534098194,-2447.631832268066,-660.3474824106798
2025-11-01 02:50:00,-641.1735072918937,-3411.1894597864393,2328.020647797571,0.0,2497.1787724089054,-2465.409620817722,-672.9426588830773
2025-11-01 02:55:00,-670.3961667430863,-3597.687843336132,2227.6815095054676,0.0,2497.203491407991,-2482.0374239495627,-685.5622342015146
2025-11-01 03:00:00,-698.3443017391714,-3589.7416457712948,2322.687517524696,0.0,2497.228210407076,-2497.3667413208686,-698.2057708253783
2025-11-01 03:05:00,-724.8851298642385,-3481.4515571847724,2242.811323621241,0.0,2497.2529294061615,-2511.2652306056752,-710.8728286647247
