generations,best_awt,avg_awt,pareto_size
0,3.813909102180243,6.558806738958153,6
1,3.7309931821862077,6.562917102001049,10
2,3.7309931821862077,6.435977655188347,9
3,3.7309931821862077,6.231327479248012,11
4,3.151809878386895,5.947134294783574,14
5,3.151809878386895,5.865682095243045,13
6,3.151809878386895,5.677028792438084,13
7,3.151809878386895,5.744520945353794,11
8,3.151809878386895,5.725732628915216,10
9,3.151809878386895,5.831989367126953,10
10,3.151809878386895,5.844658230924881,10
11,3.151809878386895,5.857729045500309,11
12,3.151809878386895,5.761998227132339,11
13,3.151809878386895,5.788733905836875,12
14,3.151809878386895,5.75301863951054,13
15,3.151809878386895,5.8781289444693785,13
16,3.151809878386895,5.8639935135246954,12
17,3.151809878386895,5.871047284997337,13
18,3.151809878386895,5.7454248785153705,13
19,3.151809878386895,5.824189413277516,13
20,3.151809878386895,5.773564942146061,14
21,3.151809878386895,5.73011361051713,13
22,3.151809878386895,5.738656925091561,14
23,3.151809878386895,5.78274217460516,14
24,3.151809878386895,5.6434583122808935,14
25,3.151809878386895,5.718584825500417,14
26,3.151809878386895,5.603652903615048,14
27,3.151809878386895,5.556544558237973,15
28,3.151809878386895,5.507669172017296,15
29,3.151809878386895,5.517043286121886,16
30,3.151809878386895,5.4535990739677525,17
31,3.151809878386895,5.436000256317004,17
32,3.151809878386895,5.430903778868291,17
33,3.151809878386895,5.409731924524813,17
34,3.151809878386895,5.4170939326609195,18
35,3.151809878386895,5.350194908608852,18
36,3.151809878386895,5.364641000045504,18
37,3.151809878386895,5.3538600113318155,19
38,3.151809878386895,5.317918682554154,19
39,3.151809878386895,5.328853901059348,16
40,3.151809878386895,5.356898531640426,17
41,3.151809878386895,5.371808543702048,17
42,3.151809878386895,5.3174740055127225,17
43,3.151809878386895,5.316758711198056,16
44,3.151809878386895,5.303916880409328,16
45,3.151809878386895,5.293075523852974,16
46,3.151809878386895,5.289832962839937,17
47,3.151809878386895,5.30168607895426,17
48,3.151809878386895,5.411795153923463,17
49,3.151809878386895,5.340866256009774,17
50,2.6802458027472036,5.26967925963655,17
51,2.6802458027472036,5.296525896497369,17
52,2.6802458027472036,5.219783121743672,18
53,2.6802458027472036,5.2112278704048265,18
54,2.6802458027472036,5.230934653163152,19
55,2.6802458027472036,5.305736933886873,20
56,2.6802458027472036,5.228471449688982,20
57,2.6802458027472036,5.229914608976368,20
58,2.6802458027472036,5.228334094714543,20
59,2.6802458027472036,5.276503051210231,19
60,2.6802458027472036,5.213616426712656,19
61,2.6802458027472036,5.201740955396149,19
62,2.6802458027472036,5.2422242360398625,19
63,2.6802458027472036,5.180939780327048,19
64,2.6802458027472036,5.17479278539298,19
65,2.6802458027472036,5.2325593618548645,19
66,2.6802458027472036,5.1947030968399535,19
67,2.6802458027472036,5.196266951346189,19
68,2.6802458027472036,5.196266951346189,19
69,2.6802458027472036,5.246213213842675,17
70,2.6802458027472036,5.247478102806805,17
71,2.6802458027472036,5.224850195663237,17
72,2.6802458027472036,5.150786062129347,17
