ds,y,yhat,yhat_lower,yhat_upper,yhat_clean
2025-11-01 00:00:00,630,-2434.3848685033067,-5206.192517202662,337.4227801960492,0.0
2025-11-01 00:05:00,609,172.23959630689978,-2497.162195542495,2841.6413881562944,172.23959630689978
2025-11-01 00:10:00,63,596.7188730385756,-1173.6807490995614,2367.1184951767127,596.7188730385756
2025-11-01 00:15:00,168,143.51497088821134,-1624.7062690261605,1911.7362108025832,143.51497088821134
2025-11-01 00:20:00,189,88.9915620153156,-1679.2200838657982,1857.2032078964294,88.9915620153156
2025-11-01 00:25:00,399,129.13252885032443,-1639.079074698179,1897.344132398828,129.13252885032443
2025-11-01 00:30:00,483,286.8761212097579,-1481.335482151956,2055.087724571472,286.8761212097579
2025-11-01 00:35:00,0,393.716950797907,-1374.494652562983,2161.928554158797,393.716950797907
2025-11-01 00:40:00,84,27.072026784585887,-1741.1395765763002,1795.283630145472,27.072026784585887
2025-11-01 00:45:00,105,-26.579401247901387,-1794.7910046087875,1741.6322021129847,0.0
2025-11-01 00:50:00,0,14.33948710909499,-1753.872116251791,1782.551090469981,14.33948710909499
2025-11-01 00:55:00,0,-65.14661622396261,-1833.3582195848487,1703.0649871369235,0.0
2025-11-01 01:00:00,0,-88.60042523121865,-1856.8120285921048,1679.6111781296675,0.0
2025-11-01 01:05:00,357,-83.50701571073523,-1851.7186190716213,1684.7045876501509,0.0
2025-11-01 01:10:00,252,200.1392890180573,-1568.0723143428288,1968.3508923789434,200.1392890180573
2025-11-01 01:15:00,168,209.01055391851241,-1559.2010494423737,1977.2221572793985,209.01055391851241
2025-11-01 01:20:00,210,121.55898839493602,-1646.65261496595,1889.7705917558221,121.55898839493602
2025-11-01 01:25:00,105,145.79741502968955,-1622.4141883311966,1914.0090183905756,145.79741502968955
2025-11-01 01:30:00,84,84.61857728761197,-1683.5930260732741,1852.830180648498,84.61857728761197
2025-11-01 01:35:00,0,52.572234388362176,-1715.639368972524,1820.7838377492483,52.572234388362176
